INT	STRING	STRING	STRING	INT	STRING	INT	INT	STRING
ID	相关	界面	脚本	不懂	缩写之类的	不懂	不懂	备注
0	ActionSkill	ActionSkill/ActionSkill.layout.xml	ActionSkill/ActionSkill.lua	2	wgjn	32	33	
1	ActionSkillsStudy	ActionSkillsStudy/ActionSkillsStudy.layout.xml	ActionSkillsStudy/ActionSkillsStudy.lua	3	wgzs	19	20	
2	Agname	Agname/Agname.layout.xml	Agname/Agname.lua	1	jbsx	19	20	
3	ChangeMinorPassword	ChangeMinorPassword/ChangeMinorPassword.layout.xml	ChangeMinorPassword/ChangeMinorPassword.lua	0	yxaq	19	20	
4	ChatFrame	ChatFrame/ChatFrame.layout.xml	ChatFrame/ChatFrame.lua	0	ltzs	0	0	
5	ChatInfo	ChatInfo/ChatInfo.layout.xml	ChatInfo/ChatInfo.lua	1	jbsx	19	20	
6	CommonSkill	CommonSkill/CommonSkill.layout.xml	CommonSkill/CommonSkill.lua	2	tyjn	32	33	
7	LoginCreateRole	CreateRole/CreateRole.layout.xml	CreateRole/CreateRole.lua	1	#N/A	0	0	
8	Exchange	Exchange/Exchange.layout.xml	Exchange/Exchange.lua	1	jy	19	20	
9	FriendInfo	FriendInfo/FriendInfo.layout.xml	FriendInfo/FriendInfo.lua	1	hy	19	20	
10	GameSetup	GameSetup/GameSetup.layout.xml	GameSetup/GameSetup.lua	1	yxpz	19	20	
11	HistoryCorrespondence	HistoryCorrespondence/HistoryCorrespondence.layout.xml	HistoryCorrespondence/HistoryCorrespondence.lua	1	hy	19	20	
12	InfoBrowser	InfoBrowser/InfoBrowser.layout.xml	InfoBrowser/InfoBrowser.lua	1	hy	0	20	
13	InfoEdit	InfoEdit/InfoEdit.layout.xml	InfoEdit/InfoEdit.lua	1	hy	0	20	
14	InputMoney	InputMoney/InputMoney.layout.xml	InputMoney/InputMoney.lua	1	yhjs	0	0	
15	InputMood	InputMood/InputMood.layout.xml	InputMood/InputMood.lua	1	jbsx	0	0	
16	LoginLogOn	LogOn/LogOn.layout.xml	LogOn/LogOn.lua	1	yxzcdl	0	0	
17	MainMenuBar	MainMenuBar/MainMenuBar.layout.xml	MainMenuBar/MainMenuBar.lua	0	kjl	0	0	
18	MessageBox_Other	MessageBox_Other/MessageBox_Other.layout.xml	MessageBox_Other/MessageBox_Other.lua	1	#N/A	19	20	
19	MessageBox_Self	MessageBox_Self/MessageBox_Self.layout.xml	MessageBox_Self/MessageBox_Self.lua	1	helpindex	19	20	
20	MissionReply	MissionReply/MissionReply.layout.xml	MissionReply/MissionReply.lua	3	rwzs	19	20	
21	Operation	Operation/Operation.layout.xml	Operation/Operation.lua	1	xtjmjs	25	26	
22	OtherInfo	OtherInfo/OtherInfo.layout.xml	OtherInfo/OtherInfo.lua	2	qtxx	19	20	
23	Pet	Pet/Pet.layout.xml	Pet/Pet.lua	2	cwsx	19	20	
24	PetList	PetList/PetList.layout.xml	PetList/PetList.lua	1	cwlb	0	0	
25	QuitRelative	QuitRelative\QuitRelative.layout.xml	QuitRelative\QuitRelative.lua	1	#N/A	0	0	
26	Relive	Relive/Relive.layout.xml	Relive/Relive.lua	6	wjswjs	0	0	
27	Ride	Ride/Ride.layout.xml	Ride/Ride.lua	2	zqzs	19	20	
28	LoginSelectRole	SelectRole/SelectRole.layout.xml	SelectRole/SelectRole.lua	1	#N/A	0	0	
29	LoginSelectServer	SelectServer/SelectServer.layout.xml	SelectServer/SelectServer.lua	1	#N/A	0	0	
30	LoginSelectServerQuest	SelectServerQuest/SelectServerQuest.layout.xml	SelectServerQuest/SelectServerQuest.lua	0	yxaq	0	0	
31	SelfData	SelfData/SelfData.layout.xml	SelfData/SelfData.lua	2	jbsx	19	20	
32	SelfEquip	SelfEquip/SelfEquip.layout.xml	SelfEquip/SelfEquip.lua	2	wjsx	34	20	
33	SetMinorPassword	SetMinorPassword/SetMinorPassword.layout.xml	SetMinorPassword/SetMinorPassword.lua	0	yxaq	19	20	
34	SplitItem	SplitItem/SplitItem.layout.xml	SplitItem/SplitItem.lua	1	cfwp	0	0	
35	UnlockMinorPassword	UnlockMinorPassword/UnlockMinorPassword.layout.xml	UnlockMinorPassword/UnlockMinorPassword.lua	0	yxaq	19	20	
36	MiniMap	MiniMap/MiniMap.layout.xml	MiniMap/MiniMap.lua	0	xdtjs	0	0	
37	SceneMap	SceneMap/SceneMap.layout.xml	SceneMap/SceneMap.lua	1	#N/A	30	31	
38	Quest	Quest/Quest.layout.xml	Quest/Quest.lua	2	helpindex	30	31	
39	LifeSkill	LifeSkill/LifeSkill.layout.xml	LifeSkill/LifeSkill.lua	2	shzs	32	33	
40	LootPacket	LootPacket/LootPacket.layout.xml	LootPacket/LootPacket.lua	1	sqb	28	29	
41	PetFrame	PetFrame/PetFrame.layout.xml	PetFrame/PetFrame.lua	0	cwsx	19	20	
42	PlayerFrame	PlayerFrame/PlayerFrame.layout.xml	PlayerFrame/PlayerFrame.lua	0	jnsx	0	0	
43	TargetFrame	TargetFrame/TargetFrame.layout.xml	TargetFrame/TargetFrame.lua	0	jbsx	0	0	
44	CityShop	CityShop/CityShop.layout.xml	CityShop/CityShop.lua	1	cssd	19	20	
45	Bank	Bank/Bank.layout.xml	Bank/Bank.lua	2	yhjs	19	20	
46	Carriage	Carriage/Carriage.layout.xml	Carriage/Carriage.lua	2	cy	19	20	
47	CityTrendGraph	CityTrendGraph/CityTrendGraph.layout.xml	CityTrendGraph/CityTrendGraph.lua	1	bhzs	19	20	
48	ConfraternityAddress	ConfraternityAddress/ConfraternityAddress.layout.xml	ConfraternityAddress/ConfraternityAddress.lua	1	bpjj	19	20	
49	ConfraternityApplyManor	ConfraternityApplyManor/ConfraternityApplyManor.layout.xml	ConfraternityApplyManor/ConfraternityApplyManor.lua	2	bhzs	19	20	
50	ConfraternityInfo	ConfraternityInfo/ConfraternityInfo.layout.xml	ConfraternityInfo/ConfraternityInfo.lua	1	bhzs	19	20	
51	ConfraternityList	ConfraternityList/ConfraternityList.layout.xml	ConfraternityList/ConfraternityList.lua	1	bhzs	19	20	
52	ConfraternityManage	ConfraternityManage/ConfraternityManage.layout.xml	ConfraternityManage/ConfraternityManage.lua	1	bhzw	19	20	
53	ConfraternityPosition	ConfraternityPosition/ConfraternityPosition.layout.xml	ConfraternityPosition/ConfraternityPosition.lua	1	bhzw	19	20	
54	ConfraternitySkillsStudy	ConfraternitySkillsStudy/ConfraternitySkillsStudy.layout.xml	ConfraternitySkillsStudy/ConfraternitySkillsStudy.lua	1	bhjn	19	20	
55	CreateCommerceNet	CreateCommerceNet/CreateCommerceNet.layout.xml	CreateCommerceNet/CreateCommerceNet.lua	1	bhjj	19	20	
56	CreateConfraternity	CreateConfraternity/CreateConfraternity.layout.xml	CreateConfraternity/CreateConfraternity.lua	1	bhzs	19	20	
57	EquipBind	EquipBind/EquipBind.layout.xml	EquipBind/EquipBind.lua	3	#N/A	0	0	
58	EquipEnchange	EquipEnchange/EquipEnchange.layout.xml	EquipEnchange/EquipEnchange.lua	3	djjs	19	20	
59	Examination	Examination/Examination.layout.xml	Examination/Examination.lua	2	#N/A	19	20	
60	Friend	Friend/friend.layout.xml	Friend/friend.lua	1	bhjjbhzw	19	20	
61	FunctionBarRight	FunctionBarRight/FunctionBarRight.layout.xml	FunctionBarRight/FunctionBarRight.lua	0	#N/A	0	0	
62	Identify	Identify/Identify.layout.xml	Identify/Identify.lua	3	#N/A	19	20	
63	Interior	Interior/Interior.layout.xml	Interior/Interior.lua	1	bhzs	19	20	
64	LifeSkillsStudy	LifeSkillsStudy/LifeSkillsStudy.layout.xml	LifeSkillsStudy/LifeSkillsStudy.lua	3	shzs	19	20	
65	MainMenuBar_2	MainMenuBar_2/MainMenuBar_2.layout.xml	MainMenuBar_2/MainMenuBar_2.lua	0	#N/A	0	0	
66	MaterialCompound	Materalcompose/Materalcompose.layout.xml	Materalcompose/MaterialCompound.lua	3	bshc	19	20	
67	PartyFrame	PartyFrame/PartyFrame.layout.xml	PartyFrame/PartyFrame.lua	0	bhzwbqfh	0	0	
68	PetInviteFriend	PetInviteFriend/PetInviteFriend.layout.xml	PetInviteFriend/PetInviteFriend.lua	3	bgjmbshc	19	20	
69	PetProcreate	PetProcreate/PetProcreate.layout.xml	PetProcreate/PetProcreate.lua	3	bgjmbhzw	19	20	
70	PetSavvy	PetSavvy\PetSavvy.layout.xml	PetSavvy\PetSavvy.lua	3	cwwx	19	20	
71	PetSkillStudy	PetSkillStudy/PetSkillStudy.layout.xml	PetSkillStudy/PetSkillStudy.lua	3	bhjj0	19	20	
72	PlayerImpactFrame	PlayerImpactFrame/PlayerImpactFrame.layout.xml	PlayerImpactFrame/PlayerImpactFrame.lua	0	jnsx	0	0	
73	PS_CreateShop	PS_CreateShop/PS_CreateShop.layout.xml	PS_CreateShop/PS_CreateShop.lua	3	bhzwbshc	19	20	
