INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING
Index	修理等级	收购等级	RepairType(修理类型)	收购类型	修理花费	修理成功几率	货币单位(1代表金币，2代表善恶值，4，帮贡，3代表师德点，5元宝，6赠点，7师门贡献度，8代表交子)	能否回购	Scale(价格系数)	Time(刷新时间)	Num(商品数量)	是否随机商店	随机商店配置文件路径	是否能够购买多个物品	是否随机排序	是否受杀气值影响	杀气折扣(-3)	杀气折扣(-2)	杀气折扣(-1)	杀气折扣(0)	杀气折扣(1)	杀气折扣(2)	杀气折扣(3)	杀气折扣(4)	PID(商品编号1)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品1价格	商品折扣	商品颜色	PID(商品编号2)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品2价格	商品折扣	商品颜色	PID(商品编号3)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品3价格	商品折扣	商品颜色	PID(商品编号4)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品4价格	商品折扣	商品颜色	PID(商品编号5)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品5价格	商品折扣	商品颜色	PID(商品编号6)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品6价格	商品折扣	商品颜色	PID(商品编号7)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品7价格	商品折扣	商品颜色	PID(商品编号8)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品8价格	商品折扣	商品颜色	PID(商品编号9)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品9价格	商品折扣	商品颜色	PID(商品编号10)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品10价格	商品折扣	商品颜色	PID(商品编号11)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品11价格	商品折扣	商品颜色	PID(商品编号12)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品12价格	商品折扣	商品颜色	PID(商品编号13)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品13价格	商品折扣	商品颜色	PID(商品编号14)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品14价格	商品折扣	商品颜色	PID(商品编号15)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品15价格	商品折扣	商品颜色	PID(商品编号16)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品16价格	商品折扣	商品颜色	PID(商品编号17)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品17价格	商品折扣	商品颜色	PID(商品编号18)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品18价格	商品折扣	商品颜色	PID(商品编号19)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品19价格	商品折扣	商品颜色	PID(商品编号20)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品20价格	商品折扣	商品颜色	PID(商品编号21)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品21价格	商品折扣	商品颜色	PID(商品编号22)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品22价格	商品折扣	商品颜色	PID(商品编号23)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品23价格	商品折扣	商品颜色	PID(商品编号24)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品24价格	商品折扣	商品颜色	PID(商品编号25)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品25价格	商品折扣	商品颜色	PID(商品编号26)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品26价格	商品折扣	商品颜色	PID(商品编号27)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品27价格	商品折扣	商品颜色	PID(商品编号28)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品28价格	商品折扣	商品颜色	PID(商品编号29)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品29价格	商品折扣	商品颜色	PID(商品编号30)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品30价格	商品折扣	商品颜色	PID(商品编号31)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品31价格	商品折扣	商品颜色	PID(商品编号32)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品32价格	商品折扣	商品颜色	PID(商品编号33)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品33价格	商品折扣	商品颜色	PID(商品编号34)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品34价格	商品折扣	商品颜色	PID(商品编号35)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品35价格	商品折扣	商品颜色	PID(商品编号36)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品36价格	商品折扣	商品颜色	PID(商品编号37)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品37价格	商品折扣	商品颜色	PID(商品编号38)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品38价格	商品折扣	商品颜色	PID(商品编号39)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品39价格	商品折扣	商品颜色	PID(商品编号40)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品40价格	商品折扣	商品颜色	PID(商品编号41)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品41价格	商品折扣	商品颜色	PID(商品编号42)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品42价格	商品折扣	商品颜色	PID(商品编号43)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品43价格	商品折扣	商品颜色	PID(商品编号44)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品44价格	商品折扣	商品颜色	PID(商品编号45)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品45价格	商品折扣	商品颜色	PID(商品编号46)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品46价格	商品折扣	商品颜色	PID(商品编号47)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品47价格	商品折扣	商品颜色	PID(商品编号48)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品48价格	商品折扣	商品颜色	PID(商品编号49)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品49价格	商品折扣	商品颜色	PID(商品编号50)	PNUM(每组多少个)	PMAX(有限商品的数量上限)	商品50价格	商品折扣	商品颜色
#潇湘综合修改工具 QQ群923288704 潇湘QQ1400003003																																																																																																																																																																																																																																																																																																																																				
1	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30506001	1	-1	100	100	#G	10100000	1	-1	100	100		10100001	1	-1	100	100		10101000	1	-1	100	100		10101001	1	-1	100	100		10102000	1	-1	100	100		10102001	1	-1	100	100		10103000	1	-1	100	100		10103001	1	-1	100	100		10104000	1	-1	100	100		10104001	1	-1	100	100		10105000	1	-1	100	100		10105001	1	-1	100	100		10106000	1	-1	100	100	#G	10106001	1	-1	100	100	#G	10107000	1	-1	100	100	#G	10107001	1	-1	100	100																																																																																																																																																																																																							
2	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30507001	1	-1	100	100		10110001	1	-1	100	100		10110002	1	-1	100	100		10110003	1	-1	100	100		10111001	1	-1	100	100		10111002	1	-1	100	100		10111003	1	-1	100	100		10112001	1	-1	100	100		10112002	1	-1	100	100		10112003	1	-1	100	100		10113001	1	-1	100	100		10113002	1	-1	100	100		10113003	1	-1	100	100		30507011	1	-1	100	100		30507021	1	-1	100	100		30507031	1	-1	100	100		0	1	-1	100	100																																																																																																																																																																																																							
3	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	10120001	1	-1	100	100		10121001	1	-1	100	100		10122001	1	-1	100	100		30508001	1	-1	100	100																																																																																																																																																																																																																																																																																					
4	40	120	1	9	1	1	8	1	1	100000	50	0		1	0	0	96	97	98	100	200	300	400	500	30101031	1	-1	100	100		30101032	1	-1	100	100		30101033	1	-1	100	100		30101034	1	-1	100	100		30101035	1	-1	100	100		30101036	1	-1	100	100		30101037	1	-1	100	100		30101038	1	-1	100	100		30101039	1	-1	100	100		30101040	1	-1	100	100		30101041	1	-1	100	100		30101042	1	-1	100	100		30101043	1	-1	100	100		30101044	1	-1	100	100		30101045	1	-1	100	100		30101046	1	-1	100	100		30101047	1	-1	100	100		30101048	1	-1	100	100		30101049	1	-1	100	100		30101050	1	-1	100	100		30001001	1	-1	100	100		30001002	1	-1	100	100		30002001	1	-1	100	100		30002002	1	-1	100	100		30003001	1	-1	100	100		30003002	1	-1	100	100		30303001	1	-1	100	100		30303051	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100							
5	40	120	1	9	1	1	8	1	1	100000	50	0		1	0	0	96	97	98	100	200	300	400	500	30101031	1	-1	100	100		30101032	1	-1	100	100		30101041	1	-1	100	100		30101042	1	-1	100	100		30304030	1	-1	100	100		30304031	1	-1	100	100		30304036	1	-1	100	100																																																																																																																																																																																																																																																																			
6	40	120	1	9	1	1	1	1	1	100000	50	0		1	0	0	96	97	98	100	200	300	400	500	30501106	1	-1	100	100		10100031	1	-1	100	100		10102012	1	-1	100	100		10102013	1	-1	100	100		0	1	-1	100	100																																																																																																																																																																																																																																																																															
7	40	120	1	9	1	1	1	1	1	100000	50	0		1	0	0	96	97	98	100	200	300	400	500	30602001	1	-1	100	100		30602002	1	-1	100	100		30603001	1	-1	100	100		30603002	1	-1	100	100		30604001	1	-1	100	100		30604002	1	-1	100	100		30605001	1	-1	100	100		30605002	1	-1	100	100		30601001	1	-1	100	100		0	1	-1	100	100																																																																																																																																																																																																																																																	
8	40	120	1	9	1	1	1	1	1	1500000	50	0		0	1	0	96	97	98	100	200	300	400	500	20101001	1	20	100	100		20101002	1	20	100	100		20101003	1	20	100	100		20101004	1	20	100	100		20101005	1	20	100	100		20103001	1	20	100	100		20103002	1	20	100	100		20104001	1	20	100	100		20104002	1	20	100	100		20105001	1	20	100	100		20105002	1	20	100	100		20304005	1	20	100	100		20304006	1	20	100	100		20107001	1	20	100	100		20107002	1	20	100	100																																																																																																																																																																																																																			
